word,label
궁극적,0
궁리,1
궂다,0
권,1
권고,0
권익,0
권장,1
권총,1
권태,0
권투,1
권한,1
궤도,0
귀감,0
귀납적,0
귀족,1
귀천,0
귀향,1
규율,0
균,1
그간,1
그나저나,1
그르다,1
그릇되다,0
그윽하다,1
그지없다,1
극,1
극대화,1
극도,0
극성,0
극소수,1
극적,0
근,1
근간,1
근력,1
근면,0
근시안,0
금상첨화,0
금시초문,1
금융업,1
금의환향,0
금지옥엽,0
급급하다,1
급기야,1
급등,1
급락,0
급류,0
급변,1
급성,0
급속,1
긍지,0
기고,0
기관지,1
기교,0
기권,1
기금,0
기기,1
기꺼이,1
기껏,1
기념회,1
기능적,1
기량,0
기력,1
기류,1
기리다,0
기립,1
기만,1
기묘하다,1
기미,1
기법,0
기색,1
기술적,1
기습,1
기아,0
기약,1
기어가다,1
기어들다,0
기어오르다,1
기어이,1
기어코,1
기업체,0
기웃거리다,1
기이하다,0
기인하다,0
기저귀,1
기절,1
기질,1
기특하다,1
기틀,0
기품,0
기피,1
기필코,1
기행,0
기호품,0
긴밀하다,0
길들이다,1
길쭉하다,1
깃,0
깃들다,0
깃발,1
깊숙이,1
까마득하다,1
까무러치다,0
깡통,1
깨소금,1
깨우치다,1
꺼리다,1
꺼림칙하다,1
껴입다,1
꼬이다,1
꼬집다,1
꼬치꼬치,1
꼴불견,1
꾀,1
꾀하다,0
꾹,1
꿈틀거리다,1
꿰다,0
꿰뚫다,1
뀌다,1
끈끈하다,1
끈질기다,1
끌려가다,1
끓어오르다,1
끔찍이,1
끼얹다,1
나그네,0
나날,1
나른하다,1
나부끼다,0
나약하다,1
나지막하다,1
낙타,1
낙태,1
낙후,0
난감하다,1
난관,1
난데없이,1
난생,1
난청,0
난폭,0
날뛰다,1
남김없이,1
남녀평등,1
남용,0
납득,1
낭송,0
낭패,0
낱낱이,1
내걸다,1
내던지다,1
내려서다,0
내륙,0
내리막길,1
내막,1
내몰다,0
내몰리다,0
내뿜다,1
내실,0
내심,1
내장,1
내젓다,0
내치다,0
내키다,1
냇가,0
냉담하다,0
냉전,1
냉정,1
냉혹하다,0
넋,1
널리다,1
넓적하다,1
넘나들다,1
넘보다,1
노골적,1
노령,0
노른자,1
노릇,1
노리다,1
노부부,0
노사,0
노여움,0
노크,1
노폐물,1
노하다,0
녹슬다,1
녹아내리다,1
녹지,0
녹초,0
논란,1
논설문,0
논증,0
논평,0
논하다,1
농어촌,1
높임법,0
뇌물,1
뇌사,1
뇌졸중,1
누비다,0
누이,1
누출,0
눈꺼풀,1
눈물겹다,1
눈여겨보다,1
눈초리,0
눈총,0
느닷없이,1
느슨하다,1
늘어뜨리다,1
늠름하다,0
능사,0
능통하다,0
능하다,0
다국적,1
다그치다,1
다량,0
다분히,0
다시금,1
다지다,1
다짜고짜,1
다채롭다,0
단가,1
단거리,1
단결,0
단계적,1
단념,0
단단히,1
단돈,1
단란하다,0
단련,1
단번에,1
단서,1
단숨에,1
단시간,1
단연,0
단적,0
단호하다,1
달구다,1
달라붙다,1
달아오르다,1
담담하다,1
담장,1
답례,1
답사,1
당당히,1
당락,0
당사자,1
당혹,1
대,1
대거,0
대금,0
대기만성,0
대담하다,0
대대손손,1
대대적,1
대들다,1
대뜸,1
대목,0
대박,1
대변,1
대북,0
대성통곡,1
대수롭다,1
대안,1
대양,0
대외,0
대원,1
대장,1
대접,1
대중성,1
대폭,1
대학가,1
대항,1
댕기다,0
더군다나,1
더더욱,1
더듬다,1
더디다,1
더러,1
더미,1
더부룩하다,1
덕목,0
덜렁대다,1
덜컥,1
덤,1
덤벼들다,1
덤비다,1
덥히다,1
덩달다,1
덩치,1
덮치다,1
도덕,1
도덕성,1
도덕적,1
도래,0
도리,0
도립,0
도맡다,1
도모,0
도약,0
도처,0
도태,1
독거노인,1
독사,1
독선적,0
독성,1
독자적,0
독재,1
독재자,1
독창성,0
돈독하다,1
돌아다보다,1
돌연변이,1
돌파,1
동경,0
동등,1
동력,0
동맥,1
동메달,1
동문서답,1
동병상련,0
동상이몽,0
동성,1
동시통역,1
동요,1
동적,0
동정,1
동질성,0
동참,1
동향,0
동호인,0
되뇌다,1
되새기다,1
된소리,0
두각,0
두루,1
두툼하다,1
둑,0
둘러앉다,0
둥그렇다,1
둥둥,1
뒤덮이다,1
뒤돌아보다,1
뒤바뀌다,1
뒤섞이다,1
뒤엉키다,1
뒤적이다,1
뒤죽박죽,1
뒤쫓다,1
뒤통수,1
뒤틀리다,1
뒷바라지,1
뒷일,1
뒷전,1
뒹굴다,1
드러눕다,1
드리우다,0
드세다,1
득점,0
들끓다,0
들뜨다,1
들락날락하다,1
들먹이다,1
들썩이다,1
들어맞다,1
들어차다,1
들여놓다,1
들여다보이다,1
들이닥치다,1
들이마시다,1
들이켜다,1
들추다,1
등골,1
등급,1
등용문,0
등재,0
등지,0
등지다,1
딛다,1
따돌리다,1
따라나서다,1
딱하다,1
딱히,1
때마침,1
떠넘기다,1
떠다니다,1
떠돌아다니다,1
떠밀리다,1
떨구다,1
떨치다,1
떨치다,1
뜨이다,1
뜯어내다,1
띄어쓰기,1
로맨틱,1
리그,1
마누라,1
마다하다,0
마지못하다,1
마취,1
막강,0
막다르다,1
막대하다,0
막론하다,0
막무가내,1
막바지,1
막상막하,1
막연히,1
막중하다,0
막힘없이,1
만끽,1
만사,1
만세,1
만연,0
만장일치,1
맏형,1
말단,0
말문,1
말미암다,1
말솜씨,1
말썽,1
망,1
망신,1
망원경,1
망치,1
맞먹다,1
맞붙다,1
맞아떨어지다,1
맞장구,1
맞춤,1
매,1
매기다,1
매니저,1
매듭,1
매료,0
매립,0
매장,1
매진,1
맥,1
맥락,1
맥박,1
맴돌다,1
맵시,0
맹렬하다,0
맺히다,1
머금다,1
머리맡,1
먹구름,1
멀다,1
멋스럽다,1
멍들다,1
면모,0
면역,1
면회,1
명당,0
명료하다,0
명목,1
명문,1
명백하다,1
명복,0
명분,1
명승지,0
명실상부,0
명중,1
명칭,1
모닥불,1
모색,0
모서리,1
모욕,1
모유,1
모질다,1
모퉁이,1
모티브,1
모호하다,1
목덜미,1
몰락,1
몰려가다,1
몰아가다,1
몰아내다,1
몰아넣다,1
몰아쉬다,1
몰아치다,1
몰입,1
몸집,1
못마땅하다,1
묘미,1
묘지,0
묘하다,1
무공해,0
무궁무진,1
무기력,1
무더기,1
무던히,1
무럭무럭,1
무력,1
무례,1
무료하다,0
무르다,0
무르익다,1
무릅쓰다,1
무리,1
무모하다,1
무병장수,0
무성하다,0
무수하다,0
무수히,1
무심히,1
무언,0
무용지물,0
무작정,1
문학적,1
무한,1
무형,0
묵념,1
묵직하다,1
묵히다,0
문단,1
문상,0
문안,0
문지르다,1
물리적,1
문헌,1
물끄러미,1
물들이다,1
물러가다,1
물리다,1
민주적,1
물자,0
물체,0
미각,1
미남,1
미달,1
미덕,0
미묘하다,1
미사,1
미숙하다,1
미술가,1
미약하다,0
미어지다,0
미정,1
미지,0
미혼모,1
미흡하다,1
민간단체,1
민망하다,1
민족주의,1
민주,0
배타적,0
민주화,1
민첩하다,0
밀도,1
밀려나다,1
밀려들다,0
밀림,1
밀어붙이다,1
밀어주다,1
밀접,1
밀착,1
밑거름,0
밑창,1
바래다,0
바삐,1
바짝,1
바퀴벌레,1
박자,1
박탈,1
반감,0
반나절,1
반도,0
반론,1
반목,0
반문,0
반세기,0
반신욕,1
반주,1
반칙,1
받들다,1
발각,1
발굴,1
발단,0
발돋움,0
발령,0
발병,0
발상,0
밥벌이,1
밧줄,1
방귀,1
방범,1
방사능,0
방어,1
방언,1
방치,1
방침,1
방패,1
배상,1
배설,1
배신,1
배역,1
배제,1
배출,1
병적,0
배포,1
배회,0
배후,0
백년해로,0
백미,0
백수,1
백지,1
백혈병,1
번성,1
번식,1
번영,0
번쩍,1
번창,0
벌판,0
범주,1
범하다,1
범행,1
법률가,0
법안,1
법정,1
벗,0
벤처,0
벼르다,0
벽화,0
변,1
변덕,1
변두리,0
변모,0
변변찮다,0
변수,1
변천,0
변형,1
변호,1
변화무쌍,0
별개,1
별안간,0
별의별,0
병동,1
병상,0
병세,0
복합적,1
보건,1
보답,1
보류,1
보배,0
보복,1
보육원,1
보잘것없다,1
보태다,1
보호자,1
복귀,1
복리,1
복부,1
복수,1
복장,1
복제,1
복종,1
비극적,1
본격화,1
본성,1
본전,1
봉우리,0
봐주다,1
부가,1
부각,1
부고,1
부닥치다,0
부당,1
부도,0
부도나다,0
부득이,1
부디,1
부르짖다,1
부리다,0
부설,0
부실,0
부양,0
부응,1
부임,1
부재,1
부진,0
부착,1
부추기다,1
부축,1
부풀리다,1
부피,1
부활,1
북돋다,0
북돋우다,0
북받치다,1
북적거리다,1
분간,1
분기,1
분담,1
분배,1
분별,1
분분하다,0
분산,1
분열,1
분유,1
분쟁,1
분출,0
분하다,1
분해,1
불경,0
불과,1
불러오다,1
불명,0
불모지,0
불분명하다,1
불쑥,1
불안정,1
불어넣다,1
불참,1
불화,1
불효자,1
붙들리다,1
비겁하다,1
비굴하다,0
비약적,0
비기다,1
비단,0
비리다,1
비밀스럽다,1
비방,0
비상,1
비속어,1
비스듬히,1
비정상적,1
비염,1
비웃음,1
비위,1
비전,1
사실적,1
비참하다,1
비품,0
비하,1
빈민,0
빈부,1
빈약,1
빈털터리,1
빈틈,1
빈틈없다,1
빈틈없이,1
빈혈,1
빗기다,0
빗줄기,1
빙산,0
빚어지다,1
빡빡하다,1
빤히,1
빼돌리다,1
뺑소니,1
뺨치다,1
뻔뻔하다,1
뻔히,1
뻗치다,1
뿌리내리다,1
뿜다,1
뿜어내다,1
사각지대,1
사각형,1
사격,1
사고력,1
사공,0
사기,1
사리,0
사면초가,0
사뭇,1
사법,0
사법부,0
사사건건,1
사상가,1
사상누각,0
사색,1
사슬,1
사시사철,0
생산적,1
사양,1
사업주,1
사치스럽다,1
사퇴,1
사필귀정,0
사회주의,1
사후,1
산간,0
산뜻하다,1
산만하다,1
산맥,0
산모,1
산물,0
산성,1
산하,0
살균,1
살해,1
삼각형,1
삼림욕,0
삼복더위,0
상,0
상거래,0
상반,1
상봉,0
상세하다,1
상속,1
상심,1
상여,0
상용,0
상위권,1
상응,0
상이하다,0
상인,0
상장,1
상주,1
상체,1
상호,0
샅샅이,1
새삼스럽다,1
새옹지마,0
색채,0
생계,1
생사,1
생산성,1
생산자,1
서민적,0
생산지,1
생성,1
생소하다,1
생태,0
생필품,1
생활고,0
생활권,1
서구,0
서두,0
선동적,0
서성거리다,1
서슴없이,1
서신,0
서열,1
서평,0
선,1
선고,0
선교,1
선교사,1
선정적,1
선뜻,1
선비,1
선풍적,0
선조,0
선출,0
시대적,1
선하다,1
선행,1
섣불리,1
설,1
설교,1
설령,1
설비,0
설상가상,0
설움,1
섬유,0
섬유질,1
섭리,1
섭외,1
성대,1
성비,0
성사,0
성장기,1
성적순,1
성차별,1
성취도,1
성품,1
성하다,0
성화,0
세,1
세,1
세관,1
세밀하다,1
세심하다,1
세태,0
세포,1
센서,1
소동,0
소란스럽다,1
소량,1
소멸,1
소신,1
소실,0
소아,0
소양,0
소외,0
소위,0
소장,0
소지,1
소프트웨어,1
소화기,1
속보,1
속설,1
속성,1
속셈,1
속속들이,0
속수무책,0
속임수,1
손가락질,1
손대다,1
손맛,1
손색,0
손수,1
손아귀,0
솔,1
솔깃하다,1
솟아나다,1
솥,1
쇄도,0
쇠퇴,0
수긍,1
수녀,0
수다스럽다,1
수도,1
수두룩하다,1
수려하다,1
수립,0
수목,0
수발,0
수법,1
수분,0
수비,0
수사관,0
수산업,0
수상하다,1
수색,1
수소문,1
수송,0
수완,0
수용,1
수용자,0
수월하다,1
수재민,0
수줍다,1
수중,0
수지,0
수차례,1
수치,1
수컷,1
수평,1
수평선,1
수혈,0
수혜자,1
수화기,1
숙맥,1
순발력,1
순수성,1
순응,0
순전히,1
순조롭다,1
순환기,0
숨죽이다,1
숭고하다,0
숭늉,1
숭배,1
쉽사리,1
스러지다,1
스며들다,1
스미다,0
슬그머니,1
슬며시,1
습성,1
승려,0
승마,1
승승장구,1
승인,1
시,1
시간대,1
시급히,1
시기상조,0
시늉,1
시적,0
시련,1
시름,1
시무룩하다,1
시비,1
시사하다,1
시상,1
시시각각,0
시신,1
시원섭섭하다,1
시원시원하다,1
시인,1
실질적,1
시정,0
시종일관,0
시중,1
시즌,1
시행착오,1
식단,1
식량난,0
식민지,1
식용,1
식은땀,1
신명,0
신비롭다,1
신상,1
신설,1
신세,1
신음,1
신의,0
신인,1
신임,0
신자,0
신종,0
신진대사,1
신축성,1
신하,1
실마리,1
실상,1
실상,1
실외,0
실용화,0
실정,1
실천적,0
압도적,1
심경,1
심성,0
심의,0
심혈,0
심히,1
십시일반,0
싱그럽다,0
싸늘하다,1
싹,1
싹트다,1
쌍방,1
쌍벽,1
쏠리다,1
씁쓸하다,1
아낌없다,1
아낌없이,1
아늑하다,1
아득하다,1
아랑곳없이,1
아무쪼록,1
아부,0
아비,1
아슬아슬,1
아우르다,1
아찔하다,1
악,1
악성,1
악역,1
악하다,1
안간힘,1
안달,1
안락,0
안락사,1
안목,1
안쓰럽다,1
안이하다,0
안일,1
안절부절,1
안주,1
알선,0
알아채다,1
암기력,1
암시,1
암컷,1
암흑기,0
압도,1
여성적,1
압박감,1
압축,1
앞다투다,0
앞장,0
애지중지,1
애착,1
애창곡,1
애초,1
애틋하다,1
야광,1
야기,0
야단맞다,1
야당,1
약물,1
약세,0
약소하다,1
약탈,1
얌체,0
양상,1
양성,1
양성평등,1
양식,1
양측,1
얕보다,1
어감,1
어금니,1
어김없이,1
어둑어둑,1
어렴풋이,1
어리다,1
어리둥절하다,1
어마어마하다,1
어민,0
어부지리,0
어설프다,1
어수선하다,1
어지럽히다,1
어처구니,1
어처구니없다,1
어투,1
억세다,0
억수,0
억압,1
억지,1
언뜻,1
언론사,1
언행,1
얻어맞다,1
얼,1
얼버무리다,1
얼핏,1
얽매이다,1
엄두,1
엄지,1
업소,1
업자,0
업종,1
엇갈리다,1
엉금엉금,1
엉기다,1
엉성하다,0
엉키다,1
엎다,1
에워싸다,1
여당,0
여류,0
여리다,1
여성상,0
역동적,0
여아,0
여의다,0
여지,1
역겹다,1
역경,1
역대,1
역도,1
열성적,0
역량,1
역지사지,0
역효과,1
연계,1
연대,0
연료,1
연비,0
연상,1
연약하다,1
연연하다,1
연잇다,0
연장자,1
연재,1
연초,0
열거,0
열광,1
열띠다,0
열망,1
열성,0
외적,1
열악하다,1
열풍,0
염두,1
염려,1
염원,0
염증,1
염치,1
영광,1
영락없이,0
영리,0
영문,1
영문,1
영세민,0
영양사,1
영입,1
영장,1
영재,1
영토,1
예견,0
예리하다,1
예배,1
예사롭다,1
예수,1
예술성,1
예의범절,1
예체능,1
오기,1
오르막길,1
오른팔,1
오붓하다,1
오죽,1
옥상,1
온실가스,1
온전하다,1
올바로,1
옷깃,1
옷자락,1
옹기종기,1
완만하다,0
완주,1
왈가왈부,0
왕궁,1
왕권,1
왕위,1
왕조,0
왜곡,1
왜소하다,1
외무부,0
외신,0
외유내강,0
외형적,0
외제,0
외형,1
우발적,1
외환,0
요건,1
요란,1
요양,1
요양원,1
요점,1
요컨대,1
요트,1
용례,0
용모,0
용법,0
용의자,1
용이하다,1
용하다,0
우거지다,0
우뇌,1
우뚝,1
우러나다,1
우렁차다,1
우호적,0
우선순위,1
우성,0
우세,0
우스꽝스럽 다,1
우여곡절,1
우열,0
우월,1
우직하다,0
우파,1
원색적,0
우후죽순,0
운용,1
운항,1
울렁거리다,1
울먹이다,1
울부짖다,1
울창하다,0
울퉁불퉁,1
울퉁불퉁하다,1
움츠리다,1
움켜잡다,1
움켜쥐다,1
웃돌다,0
웅성웅성,1
웅장하다,1
웅크리다,1
원,1
원,1
원가,1
원격,1
원고,1
원금,0
원동력,1
위생적,1
원시,1
원심력,0
원어민,1
원조,1
원주민,1
원형,1
원활,0
월간,1
월차,0
웰빙,1
위계질서,0
위독하다,1
위력,0
위상,0
윤리적,1
위성,0
위안,1
위암,1
위인,1
위인,1
위조,1
위축,1
위태롭다,1
위화감,1
유,1
유가,0
유감,1
유골,1
유권자,0
유난스럽다,1
유대감,0
유도,1
유독,1
유동,0
의도적,1
유례,1
유발,1
유비무환,0
유서,1
유세,1
유식하다,1
유언,0
유언비어,0
유연성,1
유유상종,0
유일무이,0
유전,1
유전병,1
유창성,0
유치,0
유포,0
유학,1
유행가,0
유흥비,1
유희,0
육로,1
의례적,0
율동,1
융통성,1
융합,1
으스대다,0
은근히,1
은메달,1
은사,1
은은하다,1
음,1
음모,0
음향,1
의,1
의식적,1
의욕적,1
의뢰,1
의리,1
의생활,0
의술,1
의존적,1
의아하다,1
의학적,0
의원,1
의젓하다,1
의존도,1
이례적,0
이색적,0
의혹,1
이글거리다,1
이기심,1
이끌리다,1
이다,1
이따금,1
이력,0
인격적,1
이를테면,1
이면,0
이바지,1
이산가족,0
이상,1
인공적,0
이슬,1
이식,1
이심전심,0
이어받다,1
이왕이면,1
이의,1
이점,0
이제껏,1
이주,0
이주민,0
이직률,1
이탈,1
이해,1
이행,0
익명,1
익살스럽다,0
인,1
인간미,1
인건비,1
인도적,1
인위적,1
인권,1
인내,1
인적,0
인문학,1
인산인해,0
인생관,0
자기중심적,1
자발적,1
인지도,1
인출,0
일,0
일감,0
일관성,1
일깨우다,1
일념,0
일대일,1
일련,1
일례,0
일몰,1
일삼다,1
일상화,1
일원,1
일정량,0
일제히,1
일찌감치,1
일컫다,1
일탈,1
일터,1
일환,0
임기,0
임대료,1
임신부,1
임용,1
임원,1
임종,0
임하다,1
입상,0
입양,1
입증,1
잇달다,0
자가,1
자각,1
자갈,1
자그마하다,1
자급자족,0
자율적,1
자립,1
자만,1
자문,0
전략적,1
자백,1
자본주의,1
자수,0
자수성가,0
자신만만하다,1
자아,1
자아실현,0
자유분방,1
자유자재,1
자율,1
전면적,0
자장가,1
자재,1
자질,1
자초지종,0
자취,1
자칫,1
자칫하다,1
자태,0
작정,1
잘다,0
잠잠하다,1
잠재력,1
잡다하다,0
장거리,1
장담,1
장려,1
장본인,1
장신구,0
장악,1
장유유서,1
장인,1
장차,1
재기,1
재롱,1
재무,1
재배,1
재앙,1
재원,1
재직,1
재치,0
재테크,1
재현,1
재활,1
잽싸다,1
저버리다,1
저서,0
저소득,1
저승,1
저작권,1
저조,0
저항,1
적대,0
적도,0
적발,1
적응력,1
적잖다,0
적정,1
전,1
전기,1
전기,1
전념,1
전담,0
전동,0
전래,1
전반적,1
전력,1
전망대,1
전면,1
점진적,1
전무후무,0
전문,1
전반,1
전반부,0
정열적,0
전성기,0
전셋값,1
전신,1
전업,1
전역,1
전유물,0
전율,0
전직,1
전투,1
전파,1
전형,1
전화위복,0
전환기,0
절감,0
절도,1
절로,0
절실하다,1
절전,1
절제,1
절친하다,1
점,1
점령,0
점유율,1
정적,1
점포,0
접대,1
접전,1
접종,0
정감,0
정계,1
정교하다,0
정권,1
정규,0
정년,1
정당하다,1
정밀,1
정복,1
정비,0
정사각형,1
정상화,0
정책적,1
정세,0
정신력,1
정연하다,0
정열,1
제도적,1
조직적,1
정적,1
정정당당하 다,0
종합적,0
정체,0
정체기,1
정체성,1
정통,1
정화,1
젖히다,1
제각기,1
중점적,0
제의,0
제재,1
제정,1
제치다,1
제패,0
조급하다,1
조립,1
조마조마,1
조만간,1
조문,0
조문객,0
조부모,0
조선업,1
조심조심,1
조연,1
조의,1
조작,1
조장,1
조정,1
조정,1
조종,1
지리적,1
조짐,1
조치,1
조형미,0
조화롭다,1
족,0
족하다,1
존엄성,0
졸지,0
종결,1
종사,0
종사자,1
종전,0
지배적,1
좌뇌,1
좌담회,0
좌파,1
죄송스럽다,1
죄인,1
주권,0
주력,0
주범,1
주생활,1
주선,1
주역,0
주전,0
주체,1
주최,1
준수,1
중공업,0
중대,1
중도,1
중력,1
중립,1
중병,0
중산층,1
중소,1
중점,1
지적,1
중증,0
즐비하다,0
즙,1
증가세,1
증대,0
증원,1
증정,1
증진,1
증후군,1
지구력,0
지그시,1
지극하다,1
지껄이다,1
지독하다,1
지름,1
진보적,0
지망,1
지문,1
지문,1
진취적,1
지성,1
지원금,1
지인,1
천부적,0
지지율,1
지침,1
지향,0
지휘,0
직거래,1
직관,1
직면,1
직무,1
직사각형,1
직속,1
진,1
진보,1
초월적,1
진상,1
진열,1
진작,1
진전,1
진정,1
진정,1
총체적,1
진풍경,0
진흥,0
질량,0
질의,1
짊어지다,1
집,1
집사람,1
집회,1
짓궂다,1
짓밟다,1
징역,1
징크스,1
짜임새,1
짤막하다,1
째려보다,1
쩔쩔매다,1
쪼그리다,1
쭈그리다,1
찌들다,1
찌뿌드드하다,0
찔리다,1
찧다,1
차곡차곡,1
차관,0
차일피일,0
차질,1
착륙,1
착실하다,1
착오,1
찬란하다,0
찬반,0
찬사,1
찬송가,1
참견,1
참배,0
창백하다,1
창의성,1
창작품,1
창출,1
채,0
채다,0
처가,0
처량하다,0
처마,0
처지,1
처지다,1
처참하다,1
척추,1
천막,1
천만다행,1
추상적,1
천지,1
천하다,0
철강,0
철거,1
철새,0
철수,1
첨예하다,0
청중,1
체내,0
체벌,0
체포,1
초가집,1
초능력,1
초래,0
치명적,1
초창기,1
촉각,1
촉진,1
촉촉하다,1
총액,1
특징적,1
최고령,1
최고조,1
최악,1
최연소,1
최적,1
최첨단,1
추격,1
추리다,0
추모,1
파격적,1
추이,0
추적,1
축축하다,1
출동,1
출마,1
출세,1
출제,1
출품,0
출혈,1
충실,1
충실히,1
취학,0
측정,1
치,1
치닫다,0
치매,1
편파적,0
치밀다,1
치안,1
치욕,0
치우치다,1
치유,1
치중,0
치켜들다,1
친교,0
친숙하다,1
친화,0
친화력,1
칠전팔기,0
침범,1
침입,1
침체기,0
칭하다,1
캐다,1
캐묻다,1
캠프,1
컨디션,1
코치,1
콧날,0
쾌감,1
쾌락,1
큰소리치다,1
타격,1
타당성,1
타당하다,1
타산지석,0
타이르다,1
타협,1
탁,1
탁월하다,1
탄력,1
탄성,1
탄식,1
탄압,0
탄탄하다,1
탄탄히,1
탈,1
탐구,1
태교,1
터득,1
터무니없다,1
터전,0
터트리다,1
턱없이,1
털썩,1
털어놓다,1
테두리,1
톡톡,1
톡톡히,1
통념,0
통보,1
통상,0
통속,0
통용,0
통째,0
통쾌하다,1
통틀다,1
통풍,1
퇴임,0
퇴진,0
투기,0
투박하다,0
투병,1
투입,1
투쟁,1
투정,1
투철하다,0
트다,1
트다,1
트림,1
트집,1
특권,1
특수성,1
특집,1
평화적,1
특허,0
특혜,1
튼튼히,1
틀어막다,1
틀어박히다,1
틈새,1
티격태격하다,1
티끌,1
폐쇄적,1
파견,1
파급,0
파내다,1
파란만장,0
파멸,0
파문,0
파업,1
파이프,1
파장,0
파헤치다,1
판결,1
판명,1
판이하다,0
판정,1
판촉,0
팔방미인,1
팔자,1
패,1
패기,1
패배,1
패자,1
패턴,1
팽개치다,1
팽창,0
팽팽하다,1
퍼붓다,1
펄쩍,1
펄펄,1
펭귄,1
편들다,1
편입,1
표면적,1
평론,0
평면,1
평야,0
평온,1
평이하다,0
평평하다,1
필연적,1
폐기물,1
폐렴,1
폐막식,1
폐쇄,1
학문적,1
폐장,0
폐허,0
폐활량,1
포부,1
포용,0
폭격,0
폭락,1
폭로,1
폭염,1
폭파,1
폭풍,1
폭행,1
표류,0
합법적,1
표명,0
표방,0
표본,1
표어,0
표적,1
푸근하다,1
푸념,0
푸대접,0
풀,1
풀어내다,1
풀어놓다,1
품격,1
품위,1
품종,0
품행,0
풋풋하다,1
풍자,1
풍조,0
풍족하다,1
풍토,0
피고,1
피고인,1
피력,0
피살,0
피차,0
해학적,0
필자,1
핏줄,1
하나같이,1
하락세,1
하루빨리,1
하류,0
하물며,1
하반신,1
하소연,1
하염없이,1
하위,1
하인,1
하천,0
학계,0
학대,1
핵심적,1
학살,1
학술,1
학식,1
한갓,0
한결같다,1
한결같이,1
한과,0
